Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2011-12-26,2012-01-25,TATAPOWER,SELL,103,70.39,56.81,-1398.62,-1401.8
2012-02-16,2012-02-21,TATAPOWER,BUY,106,87.49,94.42,734.37,730.51
2012-02-29,2012-05-14,TATAPOWER,BUY,96,89.63,73.24,-1573.41,-1576.53
2012-06-04,2012-10-01,TATAPOWER,SELL,130,72.05,58.93,-1706.36,-1710.44
2012-10-10,2012-12-05,TATAPOWER,BUY,105,81.81,90.75,938.99,935.37
2012-12-18,2013-01-03,TATAPOWER,BUY,166,85.82,90.23,732.26,726.42
2013-01-09,2013-02-01,TATAPOWER,BUY,212,88.22,81.09,-1513.3,-1520.47
2013-03-08,2013-05-23,TATAPOWER,SELL,185,78.6,84.41,1075.74,1070.14
2013-07-04,2013-07-19,TATAPOWER,SELL,165,66.57,58.55,-1323.37,-1328.03
2013-08-27,2013-12-19,TATAPOWER,SELL,120,63.25,51.47,-1413.69,-1417.01
2013-12-27,2014-01-15,TATAPOWER,BUY,143,73.73,63.29,-1492.94,-1496.86
2014-02-13,2014-03-13,TATAPOWER,SELL,201,61.75,55.61,-1232.96,-1238.17
2014-03-24,2014-03-31,TATAPOWER,BUY,165,67.18,73.25,1000.2,995.56
2014-04-21,2014-05-19,TATAPOWER,BUY,158,70.13,78.76,1363.49,1358.78
2014-06-25,2014-09-17,TATAPOWER,BUY,97,87.18,72.34,-1439.05,-1442.14
2014-10-17,2014-11-03,TATAPOWER,SELL,168,71.58,63.48,-1359.98,-1365.06
2015-01-06,2015-01-08,TATAPOWER,SELL,192,69.87,72.6,523.54,518.28
2015-04-09,2015-05-07,TATAPOWER,SELL,184,66.29,70.04,689.88,685.14
2015-05-26,2015-07-30,TATAPOWER,SELL,196,63.95,70.68,1319.4,1314.65
2015-08-18,2015-08-25,TATAPOWER,SELL,231,59.43,64.89,1261.7,1256.46
2016-02-17,2016-04-05,TATAPOWER,SELL,178,51.06,43.05,-1427.47,-1431.39
2016-06-06,2016-08-17,TATAPOWER,BUY,208,64.16,66.45,477.87,472.44
2016-08-25,2016-10-10,TATAPOWER,BUY,191,66.76,71.41,888.23,882.95
2016-10-17,2016-10-24,TATAPOWER,BUY,202,68.89,73.74,979.42,973.66
2016-11-30,2017-01-30,TATAPOWER,SELL,184,63.65,55.89,-1427.44,-1432.41
2017-03-07,2017-03-17,TATAPOWER,BUY,221,73.08,76.7,798.79,792.17
2017-04-25,2017-06-12,TATAPOWER,BUY,200,76.48,68.32,-1630.9,-1636.7
2017-09-26,2017-10-30,TATAPOWER,BUY,193,74.32,77.1,536.41,530.56
2017-11-10,2017-11-20,TATAPOWER,BUY,201,74.82,79.79,1000.15,993.93
2017-12-08,2018-01-02,TATAPOWER,BUY,154,82.03,88.09,931.96,926.72
2018-06-01,2018-06-19,TATAPOWER,SELL,174,72.31,77.73,943.8,938.95
2018-08-08,2018-09-04,TATAPOWER,SELL,203,64.18,56.38,-1584.62,-1590.15
2018-09-21,2018-10-08,TATAPOWER,BUY,149,68.98,57.38,-1727.65,-1731.41
2018-11-14,2018-12-04,TATAPOWER,BUY,121,69.66,75.37,690.45,686.94
2018-12-12,2019-01-31,TATAPOWER,BUY,136,72.45,62.49,-1353.41,-1357.08
2019-05-22,2019-07-03,TATAPOWER,SELL,179,58.89,49.46,-1687.05,-1691.61
2019-07-18,2019-07-26,TATAPOWER,BUY,185,64.82,57.05,-1437.68,-1442.19
2019-09-04,2019-09-13,TATAPOWER,SELL,148,50.16,40.53,-1425.63,-1428.88
2019-10-27,2019-11-15,TATAPOWER,SELL,162,54.4,57.61,520.16,516.74
2019-11-29,2019-12-09,TATAPOWER,SELL,234,52.86,55.93,718.68,713.87
2019-12-27,2020-01-16,TATAPOWER,SELL,242,51.47,46.07,-1306.32,-1311.56
2020-04-15,2020-04-27,TATAPOWER,SELL,133,34.06,38.81,631.29,629.6
2020-08-03,2020-08-11,TATAPOWER,BUY,189,46.88,49.91,571.94,568.28
2020-09-16,2020-11-19,TATAPOWER,BUY,148,55.77,57.88,312.8,309.43
2020-12-23,2020-12-29,TATAPOWER,BUY,120,69.17,74.93,691.69,688.23
2021-02-02,2021-02-05,TATAPOWER,BUY,101,78.3,87.85,965.44,962.08
2021-03-22,2021-05-11,TATAPOWER,BUY,68,100.78,104.71,267.84,265.04
2021-05-18,2021-06-08,TATAPOWER,BUY,91,100.87,109.9,821.77,817.93
2021-07-23,2021-08-03,TATAPOWER,BUY,106,121.48,130.72,979.46,974.11
2021-08-31,2021-09-16,TATAPOWER,BUY,104,126.74,136.17,981.21,975.74
2021-09-22,2021-09-24,TATAPOWER,BUY,95,133.2,141.03,743.83,738.62
2021-11-24,2022-01-13,TATAPOWER,BUY,33,233.44,232.46,-32.1,-35.17
2022-01-27,2022-02-25,TATAPOWER,BUY,42,229.06,204.26,-1041.71,-1045.35
2022-04-22,2022-05-13,TATAPOWER,BUY,34,250.94,218.85,-1091.31,-1094.51
2022-05-19,2022-06-17,TATAPOWER,SELL,35,223.22,240.75,613.48,610.48
2022-08-24,2022-09-07,TATAPOWER,BUY,57,226.43,242.12,894.16,888.81
2022-10-20,2022-12-23,TATAPOWER,SELL,67,213.59,225.01,765.28,759.71
2023-01-04,2023-01-27,TATAPOWER,SELL,77,206.87,215.21,641.7,635.45
2023-02-02,2023-03-27,TATAPOWER,SELL,72,200.94,212.75,850.63,845.01
2023-04-17,2023-05-17,TATAPOWER,SELL,96,192.46,176.67,-1515.36,-1523.05
2023-06-27,2023-07-07,TATAPOWER,BUY,96,216.62,227.4,1035.48,1026.96
2023-07-18,2023-07-31,TATAPOWER,BUY,95,221.86,234.08,1161.01,1152.35
2023-08-17,2023-08-24,TATAPOWER,BUY,71,232.5,244.42,846.62,839.85
